DEBUG | id=8464 (Pin Cherry): 'hardiness.min' is empty — setting to null.
DEBUG | id=8464 (Pin Cherry): 'hardiness.max' is empty — setting to null.
DEBUG | id=8465 (Pink Lady’s Slipper): 'hardiness.min' is empty — setting to null.
DEBUG | id=8465 (Pink Lady’s Slipper): 'hardiness.max' is empty — setting to null.
DEBUG | id=8468 (Riverbank Grape): 'hardiness.min' is empty — setting to null.
DEBUG | id=8468 (Riverbank Grape): 'hardiness.max' is empty — setting to null.
DEBUG | id=8469 (Sandbar Willow): 'hardiness.min' is empty — setting to null.
DEBUG | id=8469 (Sandbar Willow): 'hardiness.max' is empty — setting to null.
DEBUG | id=8470 (Showy Locoweed): 'hardiness.min' is empty — setting to null.
DEBUG | id=8470 (Showy Locoweed): 'hardiness.max' is empty — setting to null.
DEBUG | id=8471 (Showy Tick Trefoil): 'hardiness.min' is empty — setting to null.
DEBUG | id=8471 (Showy Tick Trefoil): 'hardiness.max' is empty — setting to null.
DEBUG | id=8473 (Strawberry Leaf Raspberry): 'hardiness.min' is empty — setting to null.
DEBUG | id=8473 (Strawberry Leaf Raspberry): 'hardiness.max' is empty — setting to null.
DEBUG | id=8475 (Trailing Arbutus): 'hardiness.min' is empty — setting to null.
DEBUG | id=8475 (Trailing Arbutus): 'hardiness.max' is empty — setting to null.
DEBUG | id=8477 (Wood Lily): 'hardiness.min' is empty — setting to null.
DEBUG | id=8477 (Wood Lily): 'hardiness.max' is empty — setting to null.
DEBUG | id=8481 (Douglas maple): 'hardiness.min' is empty — setting to null.
DEBUG | id=8481 (Douglas maple): 'hardiness.max' is empty — setting to null.
WARNING | id=8607 (cow parsnip): 'scientific_name' has 2 values ['Heracleum lanatum ( syn. of H. sphondylium montanum', ' H. maximum )']; using first.
DEBUG | id=8798 (Velvetleaf): 'hardiness.min' is empty — setting to null.
DEBUG | id=8798 (Velvetleaf): 'hardiness.max' is empty — setting to null.
DEBUG | id=8800 (Hispid Starburr): 'hardiness.min' is empty — setting to null.
DEBUG | id=8800 (Hispid Starburr): 'hardiness.max' is empty — setting to null.
DEBUG | id=8803 (Siberian Yarrow): 'hardiness.min' is empty — setting to null.
DEBUG | id=8803 (Siberian Yarrow): 'hardiness.max' is empty — setting to null.
DEBUG | id=8805 (Woolly Yarrow): 'hardiness.min' is empty — setting to null.
DEBUG | id=8805 (Woolly Yarrow): 'hardiness.max' is empty — setting to null.
DEBUG | id=8806 (Large Headed Woolly Yarrow): 'hardiness.min' is empty — setting to null.
DEBUG | id=8806 (Large Headed Woolly Yarrow): 'hardiness.max' is empty — setting to null.
DEBUG | id=8807 (Bristly Yarrow): 'hardiness.min' is empty — setting to null.
DEBUG | id=8807 (Bristly Yarrow): 'hardiness.max' is empty — setting to null.
DEBUG | id=8809 (Lemmon's Needlegrass): 'hardiness.min' is empty — setting to null.
DEBUG | id=8809 (Lemmon's Needlegrass): 'hardiness.max' is empty — setting to null.
DEBUG | id=8810 (Columbia Needlegrass): 'hardiness.min' is empty — setting to null.
DEBUG | id=8810 (Columbia Needlegrass): 'hardiness.max' is empty — setting to null.
DEBUG | id=8811 (Dore's Needlegrass): 'hardiness.min' is empty — setting to null.
DEBUG | id=8811 (Dore's Needlegrass): 'hardiness.max' is empty — setting to null.
DEBUG | id=8812 (Western Needlegrass): 'hardiness.min' is empty — setting to null.
DEBUG | id=8812 (Western Needlegrass): 'hardiness.max' is empty — setting to null.
DEBUG | id=8813 (California Needlegrass): 'hardiness.min' is empty — setting to null.
DEBUG | id=8813 (California Needlegrass): 'hardiness.max' is empty — setting to null.
DEBUG | id=8814 (Common Western Needlegrass): 'hardiness.min' is empty — setting to null.
DEBUG | id=8814 (Common Western Needlegrass): 'hardiness.max' is empty — setting to null.
DEBUG | id=8815 (Thurber's Needlegrass): 'hardiness.min' is empty — setting to null.
DEBUG | id=8815 (Thurber's Needlegrass): 'hardiness.max' is empty — setting to null.
